patent_number,patent_title,patent_date,patent_content,patent_nation,patent_url_num,patent_url,,,,,,,,,,,,,,,,,,,,,
WO/2022/268188,METHOD FOR SORTING DATA IN MULTI-CORE OR SINGLE-CORE PROCESSOR,29.12.2022,"Provided in the present disclosure are a method and system for sorting data in single-core and multi-core processors. The system and method may be involved in a combined processing apparatus, and the combined processing apparatus may further comprise a universal interconnection interface and another processing apparatus. A computing apparatus interacts with the other processing apparatus to jointly complete a computing operation designated by a user. The combined processing apparatus may further comprise a storage apparatus, which is respectively connected to a device and the other processing apparatus, and is used for storing data of the device and the other processing apparatus. By means of the solution of the present disclosure, the running efficiency of operations can be improved in various fields of data processing including, for example, the field of artificial intelligence, thereby reducing the overall overheads and costs for operations.",WO,G06F 16/901,https://www.wipo.int/ipcpub/?symbol=G06F0016901000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
11532155,METHODS AND DEVICES FOR EARTH REMOTE SENSING USING STEREOSCOPIC HYPERSPECTRAL IMAGING IN THE VISIBLE (VIS) AND INFRARED (IR) BANDS,20.12.2022,"A hyperspectral stereoscopic CubeSat with computer vision and artificial intelligence capabilities consists of a device and a data processing methodology. The device comprises a number of VIS-NIR-TIR hyperspectral sensors, a central processor with memory, a supervisor system running independently of the imager system, radios, a solar panel and battery system, and an active attitude control system. The device is launched into low earth orbit to capture, process, and transmit stereoscopic hyperspectral imagery in the visible and infrared portions of the electromagnetic spectrum. The processing methodology therein comprises computer vision and convolutional neural network algorithms to perform spectral feature identification and data transformations.",US,G06V 20/13,https://www.wipo.int/ipcpub/?symbol=G06V0020130000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220398774,PHOTOGRAPHIC DEVICE AND AI-BASED OBJECT RECOGNITION METHOD THEREOF,15.12.2022,"An AI-based object recognition method is provided to recognize an object in a first image captured by a photographic device at a first shooting angle. The method includes: Step A, determining a difference value between the first shooting angle and a preset second shooting angle; Step B, converting the first image into a second image with a view angle of the second shooting angle when the difference value is greater than a preset value; and Step C, sending the second image to an artificial intelligence model for recognition.",US,G06T 7/73,https://www.wipo.int/ipcpub/?symbol=G06T0007730000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220395730,INTELLIGENT SYSTEM THAT AUTOMATICALLY ADJUSTING OPTIMAL REHABILITATION INTENSITY OR EXERCISE VOLUME WITH PERSONALIZED EXERCISE PRESCRIPTION,15.12.2022,"An intelligent system that automatically adjusting optimal rehabilitation intensity or exercise volume with personalized exercise prescription, comprising: upload the physiological information data measured by registered members to a cloud data integration server through the Internet; an expert diagnostic unit, which can download and use the member's physiological information data from the cloud data integration server. After the diagnosis, a personalized exercise prescription is issued and uploaded to the cloud data integration server; a rehabilitation fitness equipment unit can download the exercise prescription from the cloud data integration server to control and automatically adjust the optimal rehabilitation intensity or exercise volume; after being diagnosed by experts such as doctors, rehabilitators or fitness coaches, the optimal parameter values of a continuously updated artificial intelligence exercise prescription can be used to improve the efficacy of personal rehabilitation or exercise fitness.",US,A63B 24/00,https://www.wipo.int/ipcpub/?symbol=A63B0024000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220395728,SYSTEM AND METHOD FOR USING METABOLIC DATA TO OPTIMIZE ATHLETIC PERFORMANCE,15.12.2022,"A method for optimizing at least one exercise is provided. The method includes receiving user data. The user data includes biometric attribute data associated with a user of an exercise device. The method includes generating at least one interval, the at least one interval including at least duration data and target power data each associated with the exercise. The method includes during the at least one interval, receiving measurement data associated with at least one of the user and the exercise device. The method includes calculating, based on the measurement data and the user data, energy data associated with an expended energy of the user during the at least one interval, the energy data including quantity data and source information each associated with at least one energy source. The method includes generating, via an artificial intelligence engine, a machine learning model trained to identify the at least one energy source.",US,A63B 24/00,https://www.wipo.int/ipcpub/?symbol=A63B0024000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
WO/2022/256912,SYSTEM AND METHOD FOR ANALYZING GOLF SWING VIDEOS AND GENERATING EFFECTIVE GOLF ADVICE USING ARTIFICIAL INTELLIGENCE,15.12.2022,"An automated system and method for analyzing a golf swing video and generating golf professional advice using artificial intelligence (AI). The system receives user video data from a user device; generates user swing signature data from the user video data using an initial AI; generates golf professional advice outputs from the user swing signature data using a final AI; and sends the golf professional advice outputs to the user device to be output on the user device. The final AI may take as input the user swing signature data or user profile class data, as well as golf professional advice data and user feedback data. The user profile class data may be generated based on user profile data and an intermediate AI, where the user profile data is based on the user swing signature data and other user data.",WO,A63B 69/36,https://www.wipo.int/ipcpub/?symbol=A63B0069360000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,AN ARTIFICIALLY INTELLIGENT IMAGE BASED DIGITAL SCORING SYSTEM FOR TARGET PAPER EVALUATION IN TARGET UNIT,09.12.2022,"The role of artificial intelligence is inevitable in the sports simulation and its result evaluation, the system performs image-based target sheet evaluation for shooting and archery by capturing the image of the target sheet and overlaps it with a predefined reference target sheet with unique colour for each ring using image processing technique. Once overlapped the artificial intelligent technique is used to segregate the target sheet into two main categories namely one with distinct marking for each shoot that tallies the total number of markings on the target sheet and total number of shoots. The other is where there is a difference in count clearly implying multiple shoots on same spot for which the system performs image processing for the target sheet before and after each shoot as recorded earlier and finally subjects to colour based scoring using the fuzzy inference engine.",IN,G06N /,https://www.wipo.int/ipcpub/?symbol=G06N%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
20220391773,METHOD AND SYSTEM FOR ARTIFICIAL INTELLIGENCE LEARNING USING MESSAGING SERVICE AND METHOD AND SYSTEM FOR RELAYING ANSWER USING ARTIFICIAL INTELLIGENCE,08.12.2022,"Provided are an artificial intelligence (AI) learning method and system and an answer relay method and system using an AI. According to an AI learning method, an AI may transmit a question to users through a messaging service and may acquire learning data for the AI through reactions of the user to the transmitted question.",US,G06N 20/00,https://www.wipo.int/ipcpub/?symbol=G06N0020000000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,UPPER-BODY EXERCISING DEVICE,02.12.2022,"An upper-body exercising device, comprising of L-shaped platform 1 for performing an upper-body exercise, plurality of mace weights 2 arranged in an ascending order, a touch interactive display panel 3 for enabling user to input details regarding expertise level, an inbuilt microcontroller actuates a robotic gripper 4 for extending towards one of mace weights 2 in order to grip mace weight, an artificial intelligence based image capturing module 5 for capturing and processing images of user to detect height of user to align mace weight in proximity to user, a force sensor 6 for detecting grip of user over weights 2, an audio unit 7 to generate audio notification for alerting user, a thermal based imaging unit 8 for monitoring movement of user while performing exercise to detect posture of user, and a laser projector 9 for illuminating beam of lights to project an appropriate posture.",IN,G06F /,https://www.wipo.int/ipcpub/?symbol=G06F%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02241E+11,SURFING ASSISTIVE DEVICE,02.12.2022,"The present invention relates to a surfing assistive device, comprising a v-shaped board 1 having a first and second portion, the first portion 2 is used for accommodating a user and the second portion 3 to float on the water and acting as a base for portion 2, a pair of hollow pipes 4 with centrifugal pump 7 for discharging pressurized water, a pair of rectangular plates 8 for propelling the board 1, a telescopically operated handle 10 for providing a grip to the user, an artificial intelligence-based imaging module 14 for detecting posture and height of the user, a microphone 15 for providing access to the user to give input commands for performing different types of flips, a harness 11 for assisting the user in posture maintenance, multiple L-shaped bars 16 for propelling the surfing board 1, an elastic fiber 18 for controlling the wind flow.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
2.02211E+11,YOGA PRACTICING ASSISTIVE DEVICE,02.12.2022,"A yoga practicing assistive device, comprising of a platform 1 made-up of plurality of blocks positioned on a ground utilized for accommodating a user for focused towards practicing various yoga, a touch enabled screen 2 mapped on the platform 1 for select type of yoga and for displaying an animation video of posture, an artificial intelligence enabled image capturing module 3 mounted on the platform 1 for capturing image, a pair of C-shaped members 4 configured on the platform 1 via a pair of motorized sliders to detect positioning of the user chest portion, a pair of motorized clamps 5 configured on the platform 1 via the motorized sliders for gripping the user legs, a motorized hinge configured between each of the block to detect incorrect posture of the user.",IN,A63B /,https://www.wipo.int/ipcpub/?symbol=A63B%20/&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
WO/2022/251420,SYSTEM AND METHOD FOR GENERATING TREATMENT PLANS TO ENHANCE PATIENT RECOVERY BASED ON SPECIFIC OCCUPATIONS,01.12.2022,"A method is disclosed for generating a treatment plan to modify an attribute of a user, wherein the attribute of the user is associated with an attribute of an occupational task. The method includes receiving data associated with the user, wherein the data comprises the modified attribute of the user and the attribute of the occupational task; accessing a database comprising data associated with exercises associated with the modified attribute of the user and the attribute of the occupational task; and generating, via an artificial intelligence engine, the treatment plan comprising an exercise of the exercises associated with the modified attribute of the first user and the attribute of the occupational task, wherein the artificial intelligence engine generates the treatment plan comprising the exercise based on the data associated with the user and the data associated with the exercises.",WO,G16H 20/30,https://www.wipo.int/ipcpub/?symbol=G16H0020300000&menulang=en&lang=en,,,,,,,,,,,,,,,,,,,,,
